Кол-во элементов;Кол-во перестановок;Кол-во итераций;Время на сортировку;Тип сортировки
10000;22596119;50004999;0.989733;exchangeSort
10500;24822883;55130249;1.167904;exchangeSort
11000;27017376;60505499;1.110339;exchangeSort
11500;29991374;66130749;1.201791;exchangeSort
12000;32224108;72005999;1.282861;exchangeSort
12500;34568245;78131249;1.409187;exchangeSort
13000;37443018;84506499;1.521914;exchangeSort
13500;40178347;91131749;1.615801;exchangeSort
14000;42457857;98006999;1.800615;exchangeSort
14500;45557925;105132249;1.853929;exchangeSort
15000;48582457;112507499;1.965013;exchangeSort
15500;51911516;120132749;2.150010;exchangeSort
16000;55157280;128007999;2.261409;exchangeSort
16500;58004695;136133249;2.388470;exchangeSort
17000;61581266;144508499;2.494861;exchangeSort
17500;64652842;153133749;2.587930;exchangeSort
18000;67491113;162008999;2.816718;exchangeSort
18500;70672503;171134249;2.949642;exchangeSort
19000;74995402;180509499;3.087776;exchangeSort
19500;78697564;190134749;3.334159;exchangeSort
20000;83295329;200009999;3.457101;exchangeSort
20500;86885245;210135249;3.613318;exchangeSort
21000;89298628;220510499;3.745850;exchangeSort
21500;93148226;231135749;3.949026;exchangeSort
22000;97902728;242010999;4.051066;exchangeSort
22500;101852213;253136249;4.325972;exchangeSort
23000;105732982;264511499;4.549478;exchangeSort
23500;110203571;276136749;4.738987;exchangeSort
24000;113769965;288011999;4.924341;exchangeSort
24500;118217705;300137249;5.130967;exchangeSort
25000;123802826;312512499;5.364363;exchangeSort
25500;126817804;325137749;5.448513;exchangeSort
26000;132882711;338012999;5.713347;exchangeSort
26500;136806208;351138249;6.133260;exchangeSort
27000;140004242;364513499;6.358875;exchangeSort
27500;146869588;378138749;6.606750;exchangeSort
28000;150686240;392013999;6.570117;exchangeSort
28500;154618937;406139249;6.809023;exchangeSort
29000;159753461;420514499;7.012895;exchangeSort
29500;165100922;435139749;7.185972;exchangeSort
30000;169956807;450014999;7.449591;exchangeSort
30500;173603299;465140249;7.817207;exchangeSort
31000;179767133;480515499;7.941963;exchangeSort
31500;184299358;496140749;8.205328;exchangeSort
32000;190453183;512015999;8.330520;exchangeSort
32500;195950666;528141249;8.712905;exchangeSort
33000;203024045;544516499;8.820929;exchangeSort
33500;207236748;561141749;9.072014;exchangeSort
34000;209670275;578016999;9.362087;exchangeSort
34500;214322629;595142249;9.670759;exchangeSort
35000;219197324;612517499;9.666734;exchangeSort
35500;227087418;630142749;10.179162;exchangeSort
36000;234158657;648017999;10.353299;exchangeSort
36500;234897985;666143249;10.545830;exchangeSort
37000;242856916;684518499;10.824550;exchangeSort
37500;245473514;703143749;11.100129;exchangeSort
38000;253572084;722018999;11.595970;exchangeSort
38500;260302417;741144249;11.597182;exchangeSort
39000;264196318;760519499;11.906758;exchangeSort
39500;270127706;780144749;12.305432;exchangeSort
40000;277230362;800019999;12.667454;exchangeSort
40500;281087013;820145249;12.861054;exchangeSort
41000;286846216;840520499;13.093977;exchangeSort
41500;293459252;861145749;13.267623;exchangeSort
42000;302494970;882020999;13.620807;exchangeSort
42500;306678279;903146249;13.986928;exchangeSort
43000;311092380;924521499;14.794543;exchangeSort
43500;320219413;946146749;16.292293;exchangeSort
44000;324264800;968021999;16.165665;exchangeSort
44500;331733233;990147249;15.520068;exchangeSort
45000;337317984;1012522499;16.003564;exchangeSort
45500;340626584;1035147749;16.239711;exchangeSort
46000;351424335;1058022999;17.085313;exchangeSort
46500;354423780;1081148249;17.131162;exchangeSort
47000;362606171;1104523499;17.401251;exchangeSort
47500;367249837;1128148749;18.126438;exchangeSort
48000;373114797;1152023999;17.872241;exchangeSort
48500;382101560;1176149249;18.402868;exchangeSort
49000;385067192;1200524499;18.662400;exchangeSort
49500;393605191;1225149749;19.419840;exchangeSort
50000;398726901;1250024999;19.417481;exchangeSort
50500;406865184;1275150249;19.097703;exchangeSort
51000;410928727;1300525499;19.264350;exchangeSort
51500;418234522;1326150749;19.842201;exchangeSort
52000;425362758;1352025999;19.839126;exchangeSort
52500;432194745;1378151249;20.345247;exchangeSort
53000;435161708;1404526499;21.052307;exchangeSort
53500;445299307;1431151749;21.482385;exchangeSort
54000;450452858;1458026999;21.394774;exchangeSort
54500;456002725;1485152249;21.424575;exchangeSort
55000;466735260;1512527499;22.308258;exchangeSort
55500;470806006;1540152749;22.379134;exchangeSort
56000;476779558;1568027999;22.113016;exchangeSort
56500;483101021;1596153249;22.042476;exchangeSort
57000;492664138;1624528499;22.390984;exchangeSort
57500;495123875;1653153749;22.524746;exchangeSort
58000;506388728;1682028999;23.066835;exchangeSort
58500;513011192;1711154249;23.521769;exchangeSort
59000;521399816;1740529499;23.800447;exchangeSort
59500;525908701;1770154749;24.331969;exchangeSort
60000;529456053;1800029999;24.355541;exchangeSort
60500;539642755;1830155249;24.781943;exchangeSort
61000;546214493;1860530499;25.111357;exchangeSort
61500;554944522;1891155749;26.227612;exchangeSort
62000;561020789;1922030999;26.228698;exchangeSort
62500;567360426;1953156249;26.766258;exchangeSort
63000;572734659;1984531499;26.498102;exchangeSort
63500;579571780;2016156749;26.986324;exchangeSort
64000;588378045;2048031999;27.373088;exchangeSort
64500;595398000;2080157249;27.789777;exchangeSort
65000;601204470;2112532499;28.456567;exchangeSort
65500;608349962;2145157749;27.804411;exchangeSort
66000;617131913;2178032999;28.270786;exchangeSort
66500;627002928;2211158249;28.695854;exchangeSort
67000;629036645;2244533499;28.927936;exchangeSort
67500;637445108;2278158749;29.411161;exchangeSort
68000;644491293;2312033999;29.478689;exchangeSort
68500;650791465;2346159249;29.908306;exchangeSort
69000;656609551;2380534499;30.085907;exchangeSort
69500;667433908;2415159749;30.744846;exchangeSort
70000;676082293;2450034999;31.198771;exchangeSort
70500;679889570;2485160249;31.215490;exchangeSort
71000;687334675;2520535499;31.583564;exchangeSort
71500;692080244;2556160749;31.830253;exchangeSort
72000;700220953;2592035999;32.410462;exchangeSort
72500;708258588;2628161249;32.565132;exchangeSort
73000;718533675;2664536499;33.010347;exchangeSort
73500;726367077;2701161749;33.338199;exchangeSort
74000;728759127;2738036999;33.628915;exchangeSort
74500;732685898;2775162249;33.929232;exchangeSort
75000;747164980;2812537499;34.696290;exchangeSort
75500;754036684;2850162749;35.286293;exchangeSort
76000;763577224;2888037999;35.791043;exchangeSort
76500;770687506;2926163249;36.034787;exchangeSort
