Кол-во элементов;Кол-во перестановок;Кол-во итераций;Время на сортировку;Тип сортировки
10000;33913;137697;0.001958;quickSort
10500;35972;141257;0.002300;quickSort
11000;37838;152522;0.002158;quickSort
11500;39791;171383;0.002693;quickSort
12000;41721;164787;0.002367;quickSort
12500;42801;202140;0.002544;quickSort
13000;45722;175453;0.002752;quickSort
13500;47635;190660;0.002944;quickSort
14000;49298;203250;0.002828;quickSort
14500;51806;195542;0.003588;quickSort
15000;52150;235462;0.004461;quickSort
15500;55338;222841;0.004674;quickSort
16000;57337;234886;0.004829;quickSort
16500;58427;255226;0.004954;quickSort
17000;61472;242879;0.005145;quickSort
17500;63012;267981;0.003576;quickSort
18000;64434;276683;0.004196;quickSort
18500;67050;291690;0.003834;quickSort
19000;68498;295644;0.003953;quickSort
19500;71405;284599;0.004319;quickSort
20000;72479;311900;0.004155;quickSort
20500;74936;307379;0.004228;quickSort
21000;76369;322911;0.004552;quickSort
21500;78226;340679;0.004603;quickSort
22000;81490;322233;0.004639;quickSort
22500;83895;332337;0.004823;quickSort
23000;85449;358928;0.004801;quickSort
23500;87044;358866;0.004928;quickSort
24000;89193;379307;0.005093;quickSort
24500;90851;397378;0.005168;quickSort
25000;94197;369654;0.005296;quickSort
25500;95998;380430;0.005944;quickSort
26000;97684;399911;0.005442;quickSort
26500;99484;418662;0.005736;quickSort
27000;102271;418976;0.005786;quickSort
27500;102933;443603;0.006016;quickSort
28000;104243;479478;0.005966;quickSort
28500;108978;430584;0.006081;quickSort
29000;110266;456850;0.006224;quickSort
29500;112929;440994;0.006215;quickSort
30000;114099;482864;0.006400;quickSort
30500;116685;471206;0.006572;quickSort
31000;119490;474170;0.006669;quickSort
31500;120883;485577;0.006672;quickSort
32000;122826;513209;0.007412;quickSort
32500;124057;526074;0.006871;quickSort
33000;127134;514193;0.007021;quickSort
33500;128309;582907;0.007291;quickSort
34000;131289;534638;0.007304;quickSort
34500;133487;554005;0.007424;quickSort
35000;135176;576283;0.011348;quickSort
35500;138034;555780;0.007678;quickSort
36000;141025;554768;0.011481;quickSort
36500;141291;615968;0.010176;quickSort
37000;143852;606898;0.008117;quickSort
37500;146831;586460;0.008139;quickSort
38000;148585;610612;0.008205;quickSort
38500;149798;630689;0.008413;quickSort
39000;153371;650812;0.008510;quickSort
39500;154674;637853;0.008729;quickSort
40000;155256;695441;0.008749;quickSort
40500;158963;679117;0.008838;quickSort
41000;161719;660925;0.008837;quickSort
41500;164683;651989;0.009153;quickSort
42000;167134;648949;0.009582;quickSort
42500;167232;718944;0.009877;quickSort
43000;169781;712972;0.011671;quickSort
43500;172220;718189;0.012679;quickSort
44000;176567;705535;0.010926;quickSort
44500;175465;749851;0.011081;quickSort
45000;181037;681803;0.010362;quickSort
45500;180788;740759;0.011290;quickSort
46000;184798;736615;0.012462;quickSort
46500;188292;712568;0.011469;quickSort
47000;189601;728872;0.012123;quickSort
47500;189652;795996;0.013126;quickSort
48000;191620;792126;0.014434;quickSort
48500;195121;772254;0.011142;quickSort
49000;196017;802199;0.016028;quickSort
49500;198663;816940;0.010860;quickSort
50000;200562;826519;0.011113;quickSort
50500;203783;834462;0.011238;quickSort
51000;206812;819511;0.014299;quickSort
51500;208980;829967;0.013761;quickSort
52000;212549;833299;0.015624;quickSort
52500;214244;824026;0.014685;quickSort
53000;215455;855246;0.016042;quickSort
53500;219045;865403;0.016959;quickSort
54000;219577;890413;0.014228;quickSort
54500;222227;875557;0.012174;quickSort
55000;224150;916650;0.015662;quickSort
55500;228134;875115;0.012489;quickSort
56000;227258;953083;0.014193;quickSort
56500;230268;943985;0.019123;quickSort
57000;234188;953135;0.015810;quickSort
57500;235403;954139;0.019323;quickSort
58000;236397;982485;0.018092;quickSort
58500;240851;970722;0.015851;quickSort
59000;243421;980839;0.019245;quickSort
59500;242151;1030352;0.018170;quickSort
60000;244952;1067611;0.014448;quickSort
60500;248415;1013888;0.019563;quickSort
61000;251135;1051751;0.017495;quickSort
61500;253355;1044053;0.014172;quickSort
62000;254119;1044495;0.017782;quickSort
62500;259099;1019457;0.017433;quickSort
63000;263364;998308;0.015469;quickSort
63500;263707;1052886;0.015934;quickSort
64000;265134;1132492;0.014996;quickSort
64500;269589;1007223;0.015023;quickSort
65000;271538;1042676;0.014853;quickSort
65500;270256;1130976;0.015123;quickSort
66000;274692;1141257;0.018758;quickSort
66500;278203;1089502;0.018818;quickSort
67000;281133;1089722;0.022994;quickSort
67500;282201;1128676;0.016380;quickSort
68000;280171;1224328;0.019598;quickSort
68500;287016;1100857;0.023222;quickSort
69000;287930;1184187;0.017343;quickSort
70000;295409;1119891;0.018027;quickSort
70500;295500;1201673;0.021825;quickSort
71000;294801;1285060;0.020166;quickSort
71500;300646;1172279;0.020517;quickSort
72000;302720;1257603;0.020627;quickSort
72500;303241;1283893;0.024030;quickSort
73000;307895;1203530;0.023136;quickSort
73500;309550;1225513;0.021524;quickSort
74000;312339;1216619;0.018530;quickSort
74500;315796;1263369;0.021330;quickSort
75000;318849;1212225;0.027366;quickSort
75500;320449;1239370;0.025157;quickSort
76000;322975;1259355;0.023915;quickSort
76500;325329;1296532;0.024456;quickSort
77000;328408;1242221;0.024657;quickSort
77500;327877;1304529;0.023799;quickSort
78000;327710;1396431;0.018835;quickSort
78500;337062;1281979;0.018466;quickSort
79000;338054;1310793;0.018498;quickSort
79500;338960;1316364;0.018358;quickSort
80000;337679;1419780;0.022741;quickSort
81000;345429;1371861;0.018878;quickSort
81500;346205;1423683;0.020990;quickSort
82000;351134;1359153;0.019181;quickSort
82500;351341;1427658;0.019400;quickSort
83000;355263;1363744;0.019050;quickSort
83500;358631;1362112;0.019437;quickSort
84000;360557;1452192;0.023355;quickSort
84500;361931;1441558;0.019732;quickSort
85000;362823;1449293;0.019572;quickSort
85500;368203;1416455;0.019697;quickSort
86000;370478;1416316;0.019711;quickSort
86500;373199;1457525;0.020033;quickSort
87000;374876;1473492;0.020324;quickSort
87500;376796;1481659;0.024946;quickSort
88000;377956;1523582;0.030720;quickSort
88500;380602;1499353;0.029632;quickSort
89000;387862;1412019;0.027321;quickSort
89500;381966;1696196;0.023611;quickSort
90000;384319;1660391;0.021280;quickSort
90500;386302;1642064;0.020817;quickSort
91000;393100;1548119;0.021212;quickSort
91500;396372;1528904;0.025929;quickSort
92000;398460;1542916;0.022251;quickSort
92500;402321;1545251;0.029641;quickSort
93000;406575;1490820;0.027978;quickSort
93500;405791;1557245;0.024796;quickSort
94000;405720;1680707;0.024327;quickSort
94500;410915;1604608;0.027298;quickSort
95000;412122;1600467;0.028681;quickSort
95500;412252;1777251;0.022594;quickSort
96000;418745;1615425;0.022322;quickSort
96500;423021;1568525;0.022544;quickSort
97000;424376;1635008;0.022576;quickSort
97500;424146;1729422;0.024182;quickSort
98000;429620;1671137;0.031603;quickSort
98500;429458;1676181;0.024860;quickSort
99000;430702;1729689;0.025487;quickSort
99500;428583;1855974;0.028274;quickSort
100000;436405;1761067;0.024806;quickSort
100001;432403;1806826;0.023452;quickSort
100002;438136;1682858;0.023852;quickSort
110002;486572;1858570;0.033965;quickSort
120002;534296;2121972;0.036694;quickSort
130002;590313;2115927;0.041456;quickSort
140002;628569;2549880;0.035028;quickSort
150002;685649;2603309;0.039255;quickSort
160002;737540;2789299;0.040268;quickSort
170002;795191;2860109;0.059115;quickSort
180002;841974;3309085;0.051160;quickSort
190002;897941;3253821;0.066220;quickSort
100002;438136;1682858;0.028802;quickSort
110002;486572;1858570;0.026738;quickSort
120002;534296;2121972;0.038136;quickSort
130002;590313;2115927;0.037281;quickSort
140002;628569;2549880;0.044659;quickSort
150002;685649;2603309;0.039116;quickSort
160002;737540;2789299;0.049222;quickSort
170002;795191;2860109;0.048797;quickSort
180002;841974;3309085;0.052451;quickSort
190002;897941;3253821;0.064055;quickSort
190002;885006;3610434;0.050990;quickSort
200002;952587;3459586;0.077232;quickSort
210002;1003353;3701841;0.078700;quickSort
220002;1057839;3935368;0.079456;quickSort
230002;1117893;3860827;0.082811;quickSort
240002;1154479;4613050;0.081690;quickSort
250002;1217556;4454691;0.092312;quickSort
260002;1266740;5081656;0.092958;quickSort
270002;1329177;4791204;0.097252;quickSort
280002;1384492;5037817;0.104766;quickSort
290002;1441864;5116215;0.103398;quickSort
300002;1494469;5361996;0.116004;quickSort
310002;1536262;5804287;0.110126;quickSort
320002;1609440;5666270;0.116492;quickSort
330002;1673011;5770578;0.092259;quickSort
340002;1729374;5874681;0.099647;quickSort
