Кол-во элементов;Кол-во перестановок;Кол-во итераций;Время на сортировку;Тип сортировки
10000;3742916;3862934;0.139583;shellSort
10500;3760223;3886240;0.102605;shellSort
11000;4050123;4182144;0.135437;shellSort
11500;3852987;3991008;0.125282;shellSort
12000;5814519;5958539;0.200885;shellSort
12500;4927616;5077635;0.165054;shellSort
13000;6024723;6180742;0.228620;shellSort
13500;5047897;5209918;0.174576;shellSort
14000;7250926;7418946;0.285782;shellSort
14500;6676285;6850304;0.251709;shellSort
15000;7677882;7857902;0.257169;shellSort
15500;7668014;7854034;0.229992;shellSort
16000;10553095;10745114;0.318352;shellSort
16500;8370616;8585135;0.239228;shellSort
17000;9846913;10067932;0.302266;shellSort
17500;8992038;9219558;0.246584;shellSort
18000;12055211;12289230;0.369258;shellSort
18500;11423045;11663563;0.351053;shellSort
19000;12149114;12396134;0.363377;shellSort
19500;11626664;11880184;0.326468;shellSort
20000;16021929;16281948;0.463776;shellSort
20500;13070518;13337036;0.380147;shellSort
21000;15898091;16171109;0.451861;shellSort
21500;13183012;13462536;0.403634;shellSort
22000;17419165;17705187;0.518689;shellSort
22500;16383323;16675846;0.522298;shellSort
23000;17467295;17766317;0.573844;shellSort
23500;16878615;17184138;0.481567;shellSort
24000;23193940;23505961;0.677739;shellSort
24500;18390184;18708708;0.522085;shellSort
25000;20685532;21010552;0.603729;shellSort
25500;18812177;19143699;0.559335;shellSort
26000;25515670;25853690;0.730802;shellSort
26500;23631107;23975628;0.717325;shellSort
27000;23780859;24131881;0.713301;shellSort
27500;22597377;22954900;0.666985;shellSort
28000;31373802;31737823;0.895725;shellSort
28500;24607380;24977903;0.717613;shellSort
29000;28969175;29346195;0.848498;shellSort
29500;24882085;25265608;0.773729;shellSort
30000;33141938;33531959;1.001521;shellSort
30500;30265601;30662123;0.863620;shellSort
31000;32512979;32916000;0.941570;shellSort
31500;31131219;31540741;0.990132;shellSort
32000;42046562;42462582;1.279617;shellSort
32500;31483238;31905763;0.883369;shellSort
33000;36584250;37046270;1.039630;shellSort
33500;31945411;32414433;0.955880;shellSort
34000;42360849;42836869;1.314658;shellSort
34500;39318274;39801295;1.125951;shellSort
35000;39734856;40224877;1.209077;shellSort
35500;37435559;37932581;1.097196;shellSort
36000;49930474;50434494;1.455267;shellSort
36500;41246376;41757398;1.160037;shellSort
37000;47509938;48027957;1.463255;shellSort
37500;39452605;39977628;1.161188;shellSort
38000;52396751;52928772;1.488388;shellSort
38500;46984992;47524014;1.422318;shellSort
39000;49659333;50205354;1.474640;shellSort
39500;47225668;47778690;1.350526;shellSort
40000;65226371;65786391;1.864056;shellSort
40500;49699110;50266133;1.453274;shellSort
41000;56960030;57534049;1.715995;shellSort
41500;51071238;51652259;1.491056;shellSort
42000;64811523;65399542;1.896450;shellSort
42500;62882223;63477243;1.842078;shellSort
43000;60767733;61369758;1.731770;shellSort
43500;54967617;55576641;1.624123;shellSort
44000;74236855;74852878;2.148008;shellSort
44500;61127316;61750340;1.798962;shellSort
45000;69039670;69669694;2.029499;shellSort
45500;58499033;59136057;1.839416;shellSort
46000;76995499;77639522;2.257848;shellSort
46500;68886295;69537318;2.112166;shellSort
47000;73927298;74585322;2.201250;shellSort
47500;68193217;68858240;2.005910;shellSort
48000;95972199;96644221;2.987645;shellSort
48500;69728311;70407336;2.134748;shellSort
49000;79372989;80059014;2.316383;shellSort
49500;71271539;71964561;2.140332;shellSort
50000;90939763;91639784;2.771785;shellSort
50500;83247773;83954794;2.604518;shellSort
51000;84002665;84716688;2.468488;shellSort
51500;78892965;79613987;2.332416;shellSort
52000;106098863;106826884;3.061807;shellSort
52500;85421075;86156097;2.437749;shellSort
53000;98512651;99254673;3.049778;shellSort
53500;80655062;81404086;2.506059;shellSort
54000;104956302;105712325;3.189233;shellSort
54500;93514717;94277740;2.855953;shellSort
55000;98985895;99755919;3.065543;shellSort
55500;91866829;92643852;2.894729;shellSort
56000;126362524;127146546;3.840447;shellSort
56500;97821623;98612647;3.030890;shellSort
57000;108158190;108956214;3.261111;shellSort
57500;95684642;96489664;2.887046;shellSort
58000;123324062;124136083;3.734717;shellSort
58500;115175735;115994756;3.394336;shellSort
59000;112031660;112857684;3.333316;shellSort
59500;105340164;106173187;3.059137;shellSort
60000;138602647;139442669;4.126683;shellSort
60500;111474527;112321550;3.285117;shellSort
61000;128014268;128868291;3.819443;shellSort
61500;109337076;110198099;3.339304;shellSort
62000;140713362;141581384;4.217112;shellSort
62500;127001911;127876933;3.844389;shellSort
63000;136440877;137322900;3.978376;shellSort
63500;126888113;127777135;4.022296;shellSort
64000;172522312;173418333;5.157836;shellSort
64500;124209131;125112158;3.656649;shellSort
65000;140661838;141571864;4.111411;shellSort
65500;122277275;123194303;3.613429;shellSort
66000;157929123;158919144;4.628218;shellSort
66500;145274500;146272022;4.360034;shellSort
67000;147616517;148621540;4.371953;shellSort
67500;133122607;134135131;3.899263;shellSort
68000;180521164;181541185;5.433718;shellSort
68500;142741311;143768834;4.323369;shellSort
69000;167652778;168687800;4.959940;shellSort
69500;138446559;139489085;4.212918;shellSort
70000;175231721;176281743;5.241320;shellSort
70500;158005742;159063265;4.621372;shellSort
71000;164473747;165538770;4.913851;shellSort
71500;154426409;155498933;4.559960;shellSort
72000;206543165;207623186;6.122086;shellSort
72500;159362920;160450444;4.699214;shellSort
73000;179121520;180216543;5.446769;shellSort
73500;160173516;161276041;4.741981;shellSort
74000;203900006;205010026;6.140230;shellSort
74500;187271639;188389160;5.549213;shellSort
75000;180503821;181628845;5.436441;shellSort
75500;163786022;164918547;4.923204;shellSort
76000;221691656;222831678;6.564807;shellSort
76500;178271216;179418740;5.244311;shellSort
77000;203214778;204369801;6.122568;shellSort
77500;172955231;174117757;5.131076;shellSort
78000;219987632;221157654;6.557220;shellSort
78500;195873484;197051007;5.859678;shellSort
79000;210640386;211825409;6.286464;shellSort
79500;193690418;194882942;5.862161;shellSort
80000;262088053;263288074;7.974617;shellSort
80500;193799295;195006820;5.784878;shellSort
81000;219365024;220580048;6.458932;shellSort
81500;191619973;192842499;5.743932;shellSort
82000;249817527;251047547;7.327226;shellSort
82500;221293125;222530646;6.558639;shellSort
83000;226113516;227358538;6.642985;shellSort
83500;203430170;204682693;5.963921;shellSort
