Кол-во элементов;Кол-во перестановок;Кол-во итераций;Время на сортировку;Тип сортировки
0;0;0;0.000001;quickSort
1;1;1;0.000001;quickSort
2;1;1;0.000002;quickSort
3;2;2;0.000001;quickSort
4;2;7;0.000002;quickSort
5;4;8;0.000002;quickSort
6;4;13;0.000002;quickSort
7;6;15;0.000002;quickSort
8;9;27;0.000002;quickSort
9;10;22;0.000002;quickSort
10;9;30;0.000002;quickSort
11;12;32;0.000002;quickSort
12;11;45;0.000002;quickSort
13;17;34;0.000002;quickSort
14;16;56;0.000003;quickSort
15;16;56;0.000004;quickSort
16;23;43;0.000003;quickSort
17;21;58;0.000003;quickSort
18;23;65;0.000003;quickSort
19;29;62;0.000004;quickSort
20;26;63;0.000003;quickSort
21;28;92;0.000003;quickSort
22;31;90;0.000003;quickSort
23;30;85;0.000004;quickSort
24;32;115;0.000004;quickSort
25;34;98;0.000005;quickSort
26;35;105;0.000004;quickSort
27;40;124;0.000005;quickSort
28;42;119;0.000005;quickSort
29;39;150;0.000005;quickSort
30;37;137;0.000003;quickSort
31;46;130;0.000005;quickSort
32;39;158;0.000005;quickSort
33;47;154;0.000004;quickSort
34;49;171;0.000006;quickSort
35;51;167;0.000004;quickSort
36;53;220;0.000004;quickSort
37;58;214;0.000006;quickSort
38;56;206;0.000006;quickSort
39;60;176;0.000007;quickSort
40;60;215;0.000008;quickSort
41;66;207;0.000008;quickSort
42;58;219;0.000005;quickSort
43;66;200;0.000005;quickSort
44;70;195;0.000005;quickSort
45;67;213;0.000007;quickSort
46;74;233;0.000005;quickSort
47;79;227;0.000008;quickSort
48;74;241;0.000007;quickSort
49;70;261;0.000007;quickSort
50;78;284;0.000008;quickSort
51;78;303;0.000008;quickSort
52;82;281;0.000006;quickSort
53;81;298;0.000009;quickSort
54;93;275;0.000007;quickSort
55;88;295;0.000007;quickSort
56;88;325;0.000007;quickSort
57;99;335;0.000007;quickSort
58;107;281;0.000010;quickSort
59;101;315;0.000011;quickSort
60;91;360;0.000009;quickSort
61;98;348;0.000007;quickSort
62;102;337;0.000010;quickSort
63;98;379;0.000008;quickSort
64;112;353;0.000007;quickSort
65;110;343;0.000009;quickSort
66;113;438;0.000012;quickSort
67;120;330;0.000012;quickSort
68;116;505;0.000013;quickSort
69;122;436;0.000012;quickSort
70;123;430;0.000008;quickSort
