Кол-во элементов;Кол-во перестановок;Кол-во итераций;Время на сортировку;Тип сортировки
0;0;0;0.000002;exchangeSort
100;0;5049;0.000043;exchangeSort
200;0;20099;0.000170;exchangeSort
300;0;45149;0.000384;exchangeSort
400;0;80199;0.000766;exchangeSort
500;0;125249;0.001050;exchangeSort
600;0;180299;0.001513;exchangeSort
700;0;245349;0.002042;exchangeSort
800;0;320399;0.002714;exchangeSort
900;0;405449;0.003395;exchangeSort
1000;0;500499;0.004936;exchangeSort
1100;0;605549;0.005158;exchangeSort
1200;0;720599;0.006207;exchangeSort
1300;0;845649;0.007382;exchangeSort
1400;0;980699;0.008449;exchangeSort
1500;0;1125749;0.009637;exchangeSort
1600;0;1280799;0.010938;exchangeSort
1700;0;1445849;0.012289;exchangeSort
1800;0;1620899;0.013397;exchangeSort
1900;0;1805949;0.015162;exchangeSort
2000;0;2000999;0.016525;exchangeSort
2100;0;2206049;0.018281;exchangeSort
2200;0;2421099;0.022619;exchangeSort
2300;0;2646149;0.023555;exchangeSort
2400;0;2881199;0.023932;exchangeSort
2500;0;3126249;0.029178;exchangeSort
2600;0;3381299;0.033339;exchangeSort
2700;0;3646349;0.039050;exchangeSort
2800;0;3921399;0.037697;exchangeSort
2900;0;4206449;0.039396;exchangeSort
3000;0;4501499;0.039238;exchangeSort
3100;0;4806549;0.047023;exchangeSort
3200;0;5121599;0.044813;exchangeSort
3300;0;5446649;0.046024;exchangeSort
3400;0;5781699;0.053466;exchangeSort
3500;0;6126749;0.055848;exchangeSort
3600;0;6481799;0.056439;exchangeSort
3700;0;6846849;0.086962;exchangeSort
3800;0;7221899;0.096446;exchangeSort
3900;0;7606949;0.088649;exchangeSort
4000;0;8001999;0.084819;exchangeSort
4100;0;8407049;0.089263;exchangeSort
4200;0;8822099;0.103194;exchangeSort
4300;0;9247149;0.092755;exchangeSort
4400;0;9682199;0.101263;exchangeSort
4500;0;10127249;0.089749;exchangeSort
4600;0;10582299;0.088132;exchangeSort
4700;0;11047349;0.092705;exchangeSort
4800;0;11522399;0.110029;exchangeSort
4900;0;12007449;0.136265;exchangeSort
5000;0;12502499;0.120751;exchangeSort
5100;0;13007549;0.143218;exchangeSort
5200;0;13522599;0.153910;exchangeSort
5300;0;14047649;0.144989;exchangeSort
5400;0;14582699;0.141772;exchangeSort
5500;0;15127749;0.220430;exchangeSort
5600;0;15682799;0.147343;exchangeSort
5700;0;16247849;0.141286;exchangeSort
5800;0;16822899;0.164414;exchangeSort
5900;0;17407949;0.157619;exchangeSort
6000;0;18002999;0.187679;exchangeSort
6100;0;18608049;0.181338;exchangeSort
6200;0;19223099;0.164766;exchangeSort
6300;0;19848149;0.172553;exchangeSort
6400;0;20483199;0.195147;exchangeSort
6500;0;21128249;0.184436;exchangeSort
6600;0;21783299;0.187802;exchangeSort
6700;0;22448349;0.192682;exchangeSort
6800;0;23123399;0.205785;exchangeSort
6900;0;23808449;0.223448;exchangeSort
7000;0;24503499;0.223907;exchangeSort
7100;0;25208549;0.223041;exchangeSort
7200;0;25923599;0.233916;exchangeSort
7300;0;26648649;0.253493;exchangeSort
7400;0;27383699;0.253845;exchangeSort
7500;0;28128749;0.238452;exchangeSort
7600;0;28883799;0.252764;exchangeSort
7700;0;29648849;0.260767;exchangeSort
7800;0;30423899;0.275933;exchangeSort
7900;0;31208949;0.282642;exchangeSort
8000;0;32003999;0.286319;exchangeSort
8100;0;32809049;0.295337;exchangeSort
8200;0;33624099;0.287173;exchangeSort
8300;0;34449149;0.310286;exchangeSort
8400;0;35284199;0.311151;exchangeSort
8500;0;36129249;0.331653;exchangeSort
8600;0;36984299;0.330317;exchangeSort
8700;0;37849349;0.335367;exchangeSort
8800;0;38724399;0.342291;exchangeSort
8900;0;39609449;0.345681;exchangeSort
9000;0;40504499;0.362641;exchangeSort
9100;0;41409549;0.376862;exchangeSort
9200;0;42324599;0.375105;exchangeSort
9300;0;43249649;0.405282;exchangeSort
9400;0;44184699;0.399527;exchangeSort
9500;0;45129749;0.436130;exchangeSort
9600;0;46084799;0.411480;exchangeSort
9700;0;47049849;0.411172;exchangeSort
9800;0;48024899;0.448248;exchangeSort
9900;0;49009949;0.420446;exchangeSort
10000;0;50004999;0.439154;exchangeSort
10100;0;51010049;0.476274;exchangeSort
10200;0;52025099;0.453589;exchangeSort
10300;0;53050149;0.484760;exchangeSort
10400;0;54085199;0.515701;exchangeSort
10500;0;55130249;0.477629;exchangeSort
10600;0;56185299;0.498350;exchangeSort
10700;0;57250349;0.510945;exchangeSort
10800;0;58325399;0.516631;exchangeSort
10900;0;59410449;0.529953;exchangeSort
11000;0;60505499;0.534817;exchangeSort
11100;0;61610549;0.547742;exchangeSort
11200;0;62725599;0.622159;exchangeSort
11300;0;63850649;0.547118;exchangeSort
11400;0;64985699;0.629119;exchangeSort
