Кол-во элементов;Кол-во перестановок;Кол-во итераций;Время на сортировку;Тип сортировки
0;0;0;0.000003;heapSort
100;640;839;0.000058;heapSort
200;1488;1887;0.000140;heapSort
300;2410;3009;0.000225;heapSort
400;3372;4171;0.000297;heapSort
500;4354;5353;0.000375;heapSort
600;5404;6603;0.000428;heapSort
700;6488;7887;0.000548;heapSort
800;7554;9153;0.000792;heapSort
900;8626;10425;0.000747;heapSort
1000;9708;11707;0.001129;heapSort
1100;10848;13047;0.001051;heapSort
1200;12004;14403;0.001316;heapSort
1300;13206;15805;0.001280;heapSort
1400;14364;17163;0.001270;heapSort
1500;15548;18547;0.001513;heapSort
1600;16662;19861;0.001399;heapSort
1700;17900;21299;0.001762;heapSort
1800;19068;22667;0.001850;heapSort
1900;20260;24059;0.001655;heapSort
2000;21300;25299;0.001573;heapSort
2100;22662;26861;0.001935;heapSort
2200;23944;28343;0.002222;heapSort
2300;25230;29829;0.002500;heapSort
2400;26518;31317;0.002168;heapSort
2500;27814;32813;0.002671;heapSort
2600;29104;34303;0.003138;heapSort
2700;30380;35779;0.002793;heapSort
2800;31672;37271;0.002804;heapSort
2900;32952;38751;0.002674;heapSort
3000;34252;40251;0.004555;heapSort
3100;35542;41741;0.002702;heapSort
3200;36828;43227;0.002971;heapSort
3300;38102;44701;0.002851;heapSort
3400;39410;46209;0.003627;heapSort
3500;40698;47697;0.004095;heapSort
3600;41988;49187;0.004024;heapSort
3700;43272;50671;0.003874;heapSort
3800;44558;52157;0.003894;heapSort
3900;45838;53637;0.005964;heapSort
4000;47142;55141;0.007315;heapSort
4100;48426;56625;0.004933;heapSort
4200;49814;58213;0.005057;heapSort
4300;51208;59807;0.004455;heapSort
4400;52594;61393;0.005889;heapSort
4500;53982;62981;0.006355;heapSort
4600;55372;64571;0.005009;heapSort
4700;56748;66147;0.005008;heapSort
4800;58146;67745;0.010521;heapSort
4900;59540;69339;0.005332;heapSort
5000;60932;70931;0.005804;heapSort
5100;62322;72521;0.007182;heapSort
5200;63710;74109;0.007280;heapSort
5300;65104;75703;0.005746;heapSort
5400;66504;77303;0.005473;heapSort
5500;67884;78883;0.005746;heapSort
5600;69264;80463;0.006029;heapSort
5700;70672;82071;0.006644;heapSort
