Кол-во элементов;Кол-во перестановок;Кол-во итераций;Время на сортировку;Тип сортировки
0;0;0;0.000003;insertionSort
100;0;99;0.000003;insertionSort
200;0;199;0.000004;insertionSort
300;0;299;0.000005;insertionSort
400;0;399;0.000005;insertionSort
500;0;499;0.000006;insertionSort
600;0;599;0.000007;insertionSort
700;0;699;0.000008;insertionSort
800;0;799;0.000009;insertionSort
900;0;899;0.000009;insertionSort
1000;0;999;0.000010;insertionSort
1100;0;1099;0.000011;insertionSort
1200;0;1199;0.000011;insertionSort
1300;0;1299;0.000014;insertionSort
1400;0;1399;0.000014;insertionSort
1500;0;1499;0.000017;insertionSort
1600;0;1599;0.000015;insertionSort
1700;0;1699;0.000016;insertionSort
1800;0;1799;0.000017;insertionSort
1900;0;1899;0.000020;insertionSort
2000;0;1999;0.000060;insertionSort
2100;0;2099;0.000022;insertionSort
2200;0;2199;0.000023;insertionSort
2300;0;2299;0.000021;insertionSort
2400;0;2399;0.000021;insertionSort
2500;0;2499;0.000024;insertionSort
2600;0;2599;0.000024;insertionSort
2700;0;2699;0.000024;insertionSort
2800;0;2799;0.000208;insertionSort
2900;0;2899;0.000029;insertionSort
3000;0;2999;0.000028;insertionSort
3100;0;3099;0.000109;insertionSort
3200;0;3199;0.000029;insertionSort
3300;0;3299;0.000030;insertionSort
3400;0;3399;0.000032;insertionSort
3500;0;3499;0.000031;insertionSort
3600;0;3599;0.000032;insertionSort
3700;0;3699;0.000037;insertionSort
3800;0;3799;0.000037;insertionSort
3900;0;3899;0.000035;insertionSort
4000;0;3999;0.000036;insertionSort
4100;0;4099;0.000037;insertionSort
4200;0;4199;0.000037;insertionSort
4300;0;4299;0.000039;insertionSort
4400;0;4399;0.000039;insertionSort
4500;0;4499;0.000040;insertionSort
4600;0;4599;0.000041;insertionSort
4700;0;4699;0.000041;insertionSort
4800;0;4799;0.000058;insertionSort
4900;0;4899;0.000106;insertionSort
5000;0;4999;0.000044;insertionSort
5100;0;5099;0.000047;insertionSort
5200;0;5199;0.000045;insertionSort
5300;0;5299;0.000046;insertionSort
5400;0;5399;0.000061;insertionSort
5500;0;5499;0.000048;insertionSort
5600;0;5599;0.000065;insertionSort
5700;0;5699;0.000074;insertionSort
5800;0;5799;0.000052;insertionSort
5900;0;5899;0.000061;insertionSort
6000;0;5999;0.000052;insertionSort
6100;0;6099;0.000053;insertionSort
6200;0;6199;0.000054;insertionSort
6300;0;6299;0.000232;insertionSort
6400;0;6399;0.000067;insertionSort
6500;0;6499;0.000087;insertionSort
6600;0;6599;0.000058;insertionSort
6700;0;6699;0.000058;insertionSort
6800;0;6799;0.000060;insertionSort
6900;0;6899;0.000061;insertionSort
7000;0;6999;0.000061;insertionSort
7100;0;7099;0.000061;insertionSort
7200;0;7199;0.000061;insertionSort
7300;0;7299;0.000064;insertionSort
7400;0;7399;0.000063;insertionSort
7500;0;7499;0.000069;insertionSort
7600;0;7599;0.000068;insertionSort
7700;0;7699;0.000079;insertionSort
7800;0;7799;0.000068;insertionSort
7900;0;7899;0.000069;insertionSort
8000;0;7999;0.000068;insertionSort
8100;0;8099;0.000082;insertionSort
8200;0;8199;0.000071;insertionSort
8300;0;8299;0.000234;insertionSort
8400;0;8399;0.000086;insertionSort
8500;0;8499;0.000072;insertionSort
8600;0;8599;0.000078;insertionSort
8700;0;8699;0.000075;insertionSort
8800;0;8799;0.000171;insertionSort
8900;0;8899;0.000080;insertionSort
9000;0;8999;0.000077;insertionSort
9100;0;9099;0.000079;insertionSort
9200;0;9199;0.000079;insertionSort
9300;0;9299;0.000349;insertionSort
9400;0;9399;0.000081;insertionSort
9500;0;9499;0.000082;insertionSort
9600;0;9599;0.000083;insertionSort
9700;0;9699;0.000083;insertionSort
9800;0;9799;0.000084;insertionSort
9900;0;9899;0.000084;insertionSort
10000;0;9999;0.000087;insertionSort
10100;0;10099;0.000091;insertionSort
10200;0;10199;0.000103;insertionSort
10300;0;10299;0.000088;insertionSort
10400;0;10399;0.000093;insertionSort
10500;0;10499;0.000090;insertionSort
10600;0;10599;0.000091;insertionSort
10700;0;10699;0.000091;insertionSort
10800;0;10799;0.000092;insertionSort
10900;0;10899;0.000114;insertionSort
11000;0;10999;0.000098;insertionSort
11100;0;11099;0.000095;insertionSort
11200;0;11199;0.000112;insertionSort
11300;0;11299;0.000115;insertionSort
11400;0;11399;0.000100;insertionSort
11500;0;11499;0.000098;insertionSort
11600;0;11599;0.000099;insertionSort
11700;0;11699;0.000101;insertionSort
11800;0;11799;0.000101;insertionSort
11900;0;11899;0.000111;insertionSort
12000;0;11999;0.000101;insertionSort
12100;0;12099;0.000121;insertionSort
12200;0;12199;0.000109;insertionSort
12300;0;12299;0.000119;insertionSort
12400;0;12399;0.000111;insertionSort
12500;0;12499;0.000106;insertionSort
12600;0;12599;0.000126;insertionSort
12800;0;12799;0.000109;insertionSort
12900;0;12899;0.000108;insertionSort
13000;0;12999;0.000131;insertionSort
13100;0;13099;0.000113;insertionSort
13200;0;13199;0.000116;insertionSort
13300;0;13299;0.000154;insertionSort
13400;0;13399;0.000131;insertionSort
13500;0;13499;0.000142;insertionSort
13600;0;13599;0.000183;insertionSort
13700;0;13699;0.000140;insertionSort
13800;0;13799;0.000118;insertionSort
13900;0;13899;0.000134;insertionSort
14000;0;13999;0.000123;insertionSort
14100;0;14099;0.000120;insertionSort
14200;0;14199;0.000124;insertionSort
14300;0;14299;0.000611;insertionSort
14400;0;14399;0.000123;insertionSort
14500;0;14499;0.000859;insertionSort
14600;0;14599;0.000136;insertionSort
14700;0;14699;0.000132;insertionSort
14800;0;14799;0.000131;insertionSort
14900;0;14899;0.000133;insertionSort
15000;0;14999;0.000129;insertionSort
15100;0;15099;0.000353;insertionSort
15200;0;15199;0.000184;insertionSort
15300;0;15299;0.000141;insertionSort
15400;0;15399;0.000134;insertionSort
15500;0;15499;0.000231;insertionSort
15600;0;15599;0.000133;insertionSort
15700;0;15699;0.000132;insertionSort
15800;0;15799;0.000136;insertionSort
15900;0;15899;0.000135;insertionSort
16000;0;15999;0.000136;insertionSort
16100;0;16099;0.000160;insertionSort
16200;0;16199;0.000155;insertionSort
16300;0;16299;0.000215;insertionSort
16400;0;16399;0.000146;insertionSort
16500;0;16499;0.000141;insertionSort
16700;0;16699;0.000156;insertionSort
16800;0;16799;0.000147;insertionSort
16900;0;16899;0.000144;insertionSort
17000;0;16999;0.000144;insertionSort
17100;0;17099;0.000148;insertionSort
17200;0;17199;0.000146;insertionSort
17300;0;17299;0.000151;insertionSort
17400;0;17399;0.000167;insertionSort
17500;0;17499;0.000148;insertionSort
17600;0;17599;0.000153;insertionSort
17700;0;17699;0.000171;insertionSort
17800;0;17799;0.000151;insertionSort
17900;0;17899;0.000157;insertionSort
18000;0;17999;0.000394;insertionSort
18100;0;18099;0.000155;insertionSort
18200;0;18199;0.000192;insertionSort
18300;0;18299;0.000156;insertionSort
18400;0;18399;0.000175;insertionSort
18500;0;18499;0.000156;insertionSort
18600;0;18599;0.000159;insertionSort
18700;0;18699;0.000159;insertionSort
18800;0;18799;0.000160;insertionSort
18900;0;18899;0.000173;insertionSort
19000;0;18999;0.000221;insertionSort
19100;0;19099;0.000320;insertionSort
19200;0;19199;0.000176;insertionSort
19300;0;19299;0.000170;insertionSort
19400;0;19399;0.000163;insertionSort
19500;0;19499;0.000190;insertionSort
19600;0;19599;0.000168;insertionSort
19700;0;19699;0.000707;insertionSort
19800;0;19799;0.000166;insertionSort
19900;0;19899;0.000248;insertionSort
20000;0;19999;0.000176;insertionSort
20100;0;20099;0.000198;insertionSort
20200;0;20199;0.000172;insertionSort
20300;0;20299;0.000175;insertionSort
20400;0;20399;0.000195;insertionSort
20500;0;20499;0.000175;insertionSort
20600;0;20599;0.000176;insertionSort
20900;0;20899;0.000177;insertionSort
21000;0;20999;0.000182;insertionSort
21100;0;21099;0.000180;insertionSort
21200;0;21199;0.000181;insertionSort
21300;0;21299;0.000183;insertionSort
21400;0;21399;0.000317;insertionSort
21500;0;21499;0.000181;insertionSort
21600;0;21599;0.000188;insertionSort
21700;0;21699;0.000184;insertionSort
21800;0;21799;0.000186;insertionSort
21900;0;21899;0.000218;insertionSort
22000;0;21999;0.000185;insertionSort
22100;0;22099;0.000266;insertionSort
22200;0;22199;0.000190;insertionSort
22300;0;22299;0.000202;insertionSort
22400;0;22399;0.000225;insertionSort
22500;0;22499;0.000190;insertionSort
22600;0;22599;0.000226;insertionSort
22700;0;22699;0.000191;insertionSort
22800;0;22799;0.000193;insertionSort
22900;0;22899;0.000202;insertionSort
23000;0;22999;0.000337;insertionSort
23100;0;23099;0.000197;insertionSort
23200;0;23199;0.000195;insertionSort
23300;0;23299;0.000199;insertionSort
23400;0;23399;0.000255;insertionSort
23500;0;23499;0.000225;insertionSort
23600;0;23599;0.000215;insertionSort
23700;0;23699;0.000271;insertionSort
23800;0;23799;0.000199;insertionSort
23900;0;23899;0.000200;insertionSort
