Кол-во элементов;Кол-во перестановок;Кол-во итераций;Время на сортировку;Тип сортировки
0;0;0;0.000002;quickSort
100;63;543;0.000013;quickSort
200;127;1280;0.000025;quickSort
300;172;2070;0.000032;quickSort
400;255;2953;0.000049;quickSort
500;255;3753;0.000056;quickSort
600;344;4731;0.000072;quickSort
700;444;5731;0.000095;quickSort
800;511;6698;0.000091;quickSort
900;511;7598;0.000109;quickSort
1000;511;8498;0.000230;quickSort
1100;588;9552;0.000134;quickSort
1200;688;10652;0.000142;quickSort
1300;788;11752;0.000162;quickSort
1400;888;12852;0.000155;quickSort
1500;988;13952;0.000211;quickSort
1600;1023;14987;0.000213;quickSort
1700;1023;15987;0.000232;quickSort
1800;1023;16987;0.000235;quickSort
1900;1023;17987;0.000234;quickSort
2000;1023;18987;0.000253;quickSort
2100;1076;20093;0.000253;quickSort
2200;1176;21293;0.000273;quickSort
2300;1276;22493;0.000252;quickSort
2400;1376;23693;0.000336;quickSort
2500;1476;24893;0.000292;quickSort
2600;1576;26093;0.000369;quickSort
2700;1676;27293;0.000451;quickSort
2800;1776;28493;0.000378;quickSort
2900;1876;29693;0.000397;quickSort
3000;1976;30893;0.000410;quickSort
3100;2047;32064;0.000431;quickSort
3200;2047;33164;0.000437;quickSort
3300;2047;34264;0.000540;quickSort
3400;2047;35364;0.000478;quickSort
3500;2047;36464;0.000492;quickSort
3600;2047;37564;0.000585;quickSort
3700;2047;38664;0.000565;quickSort
3800;2047;39764;0.000489;quickSort
3900;2047;40864;0.000531;quickSort
4000;2047;41964;0.000508;quickSort
4100;2052;43074;0.000516;quickSort
4200;2152;44374;0.000568;quickSort
4300;2252;45674;0.000572;quickSort
4400;2352;46974;0.000724;quickSort
4500;2452;48274;0.000638;quickSort
4600;2552;49574;0.000610;quickSort
4700;2652;50874;0.000658;quickSort
4800;2752;52174;0.000865;quickSort
4900;2852;53474;0.000791;quickSort
5000;2952;54774;0.000686;quickSort
5100;3052;56074;0.000774;quickSort
5200;3152;57374;0.001432;quickSort
5300;3252;58674;0.000769;quickSort
5400;3352;59974;0.000812;quickSort
5500;3452;61274;0.000916;quickSort
5600;3552;62574;0.000800;quickSort
5700;3652;63874;0.000856;quickSort
5800;3752;65174;0.000846;quickSort
5900;3852;66474;0.000813;quickSort
6000;3952;67774;0.000849;quickSort
6100;4052;69074;0.000942;quickSort
6200;4095;70317;0.001124;quickSort
6300;4095;71517;0.001076;quickSort
6400;4095;72717;0.001012;quickSort
6500;4095;73917;0.001002;quickSort
6600;4095;75117;0.001125;quickSort
6700;4095;76317;0.001022;quickSort
6800;4095;77517;0.001092;quickSort
6900;4095;78717;0.000991;quickSort
7000;4095;79917;0.001048;quickSort
7100;4095;81117;0.001012;quickSort
7200;4095;82317;0.001054;quickSort
7300;4095;83517;0.001039;quickSort
7400;4095;84717;0.001163;quickSort
7800;4095;89517;0.001069;quickSort
7900;4095;90717;0.001412;quickSort
8000;4095;91917;0.001212;quickSort
8100;4095;93117;0.001088;quickSort
8200;4104;94335;0.001634;quickSort
8300;4204;95735;0.002675;quickSort
8400;4304;97135;0.001345;quickSort
8500;4404;98535;0.001177;quickSort
8600;4504;99935;0.001189;quickSort
8700;4604;101335;0.002965;quickSort
8800;4704;102735;0.001702;quickSort
8900;4804;104135;0.001524;quickSort
9000;4904;105535;0.001796;quickSort
9100;5004;106935;0.001424;quickSort
9200;5104;108335;0.001293;quickSort
9300;5204;109735;0.001526;quickSort
9400;5304;111135;0.002168;quickSort
9500;5404;112535;0.001391;quickSort
9600;5504;113935;0.001620;quickSort
9700;5604;115335;0.001533;quickSort
9800;5704;116735;0.002067;quickSort
9900;5804;118135;0.001773;quickSort
10000;5904;119535;0.001640;quickSort
10100;6004;120935;0.001490;quickSort
