Кол-во элементов;Кол-во элементов в ^ 2;Кол-во перестановок;Кол-во сравнений;Сумма сравнений и перестановок;Кол-во итераций;Время на сортировку;Тип сортировки
0;0;0;2;2;0;0.000002;quickSort
100;10000;63;669;732;543;0.000008;quickSort
200;40000;127;1534;1661;1280;0.000014;quickSort
300;90000;172;2414;2586;2070;0.000019;quickSort
400;160000;255;3463;3718;2953;0.000028;quickSort
500;250000;255;4263;4518;3753;0.000032;quickSort
600;360000;344;5419;5763;4731;0.000040;quickSort
700;490000;444;6619;7063;5731;0.000050;quickSort
800;640000;511;7720;8231;6698;0.000061;quickSort
900;810000;511;8620;9131;7598;0.000062;quickSort
1000;1000000;511;9520;10031;8498;0.000057;quickSort
1100;1210000;588;10728;11316;9552;0.000064;quickSort
1200;1440000;688;12028;12716;10652;0.000073;quickSort
1300;1690000;788;13328;14116;11752;0.000088;quickSort
1400;1960000;888;14628;15516;12852;0.000101;quickSort
1500;2250000;988;15928;16916;13952;0.000220;quickSort
1600;2560000;1023;17033;18056;14987;0.000115;quickSort
1700;2890000;1023;18033;19056;15987;0.000142;quickSort
1800;3240000;1023;19033;20056;16987;0.000133;quickSort
1900;3610000;1023;20033;21056;17987;0.000115;quickSort
2000;4000000;1023;21033;22056;18987;0.000140;quickSort
2100;4410000;1076;22245;23321;20093;0.000152;quickSort
2200;4840000;1176;23645;24821;21293;0.000162;quickSort
2300;5290000;1276;25045;26321;22493;0.000171;quickSort
2400;5760000;1376;26445;27821;23693;0.000157;quickSort
2500;6250000;1476;27845;29321;24893;0.000183;quickSort
2600;6760000;1576;29245;30821;26093;0.000171;quickSort
2700;7290000;1676;30645;32321;27293;0.000183;quickSort
2800;7840000;1776;32045;33821;28493;0.000223;quickSort
2900;8410000;1876;33445;35321;29693;0.000236;quickSort
3000;9000000;1976;34845;36821;30893;0.000219;quickSort
3100;9610000;2047;36158;38205;32064;0.000214;quickSort
3200;10240000;2047;37258;39305;33164;0.000235;quickSort
3300;10890000;2047;38358;40405;34264;0.000252;quickSort
3400;11560000;2047;39458;41505;35364;0.000287;quickSort
3500;12250000;2047;40558;42605;36464;0.000272;quickSort
3600;12960000;2047;41658;43705;37564;0.000293;quickSort
3700;13690000;2047;42758;44805;38664;0.000282;quickSort
3800;14440000;2047;43858;45905;39764;0.000252;quickSort
3900;15210000;2047;44958;47005;40864;0.000301;quickSort
4000;16000000;2047;46058;48105;41964;0.000268;quickSort
4100;16810000;2052;47178;49230;43074;0.000333;quickSort
4200;17640000;2152;48678;50830;44374;0.000319;quickSort
4300;18490000;2252;50178;52430;45674;0.000320;quickSort
4400;19360000;2352;51678;54030;46974;0.000339;quickSort
4500;20250000;2452;53178;55630;48274;0.000299;quickSort
4600;21160000;2552;54678;57230;49574;0.000366;quickSort
4700;22090000;2652;56178;58830;50874;0.000400;quickSort
4800;23040000;2752;57678;60430;52174;0.000388;quickSort
4900;24010000;2852;59178;62030;53474;0.000390;quickSort
5000;25000000;2952;60678;63630;54774;0.000355;quickSort
5100;26010000;3052;62178;65230;56074;0.000349;quickSort
5200;27040000;3152;63678;66830;57374;0.000440;quickSort
5300;28090000;3252;65178;68430;58674;0.000439;quickSort
5400;29160000;3352;66678;70030;59974;0.000453;quickSort
5500;30250000;3452;68178;71630;61274;0.000467;quickSort
5600;31360000;3552;69678;73230;62574;0.000411;quickSort
5700;32490000;3652;71178;74830;63874;0.000510;quickSort
5800;33640000;3752;72678;76430;65174;0.000450;quickSort
5900;34810000;3852;74178;78030;66474;0.000527;quickSort
6000;36000000;3952;75678;79630;67774;0.000495;quickSort
6100;37210000;4052;77178;81230;69074;0.000438;quickSort
6200;38440000;4095;78507;82602;70317;0.000492;quickSort
6300;39690000;4095;79707;83802;71517;0.000465;quickSort
6400;40960000;4095;80907;85002;72717;0.000478;quickSort
6500;42250000;4095;82107;86202;73917;0.000552;quickSort
6600;43560000;4095;83307;87402;75117;0.000488;quickSort
6700;44890000;4095;84507;88602;76317;0.000488;quickSort
6800;46240000;4095;85707;89802;77517;0.000498;quickSort
6900;47610000;4095;86907;91002;78717;0.000580;quickSort
7000;49000000;4095;88107;92202;79917;0.000595;quickSort
7100;50410000;4095;89307;93402;81117;0.000598;quickSort
7200;51840000;4095;90507;94602;82317;0.000575;quickSort
7300;53290000;4095;91707;95802;83517;0.000597;quickSort
7400;54760000;4095;92907;97002;84717;0.000587;quickSort
7500;56250000;4095;94107;98202;85917;0.000606;quickSort
7600;57760000;4095;95307;99402;87117;0.000571;quickSort
7700;59290000;4095;96507;100602;88317;0.000627;quickSort
7800;60840000;4095;97707;101802;89517;0.000616;quickSort
7900;62410000;4095;98907;103002;90717;0.000688;quickSort
8000;64000000;4095;100107;104202;91917;0.000698;quickSort
8100;65610000;4095;101307;105402;93117;0.000549;quickSort
8200;67240000;4104;102543;106647;94335;0.000612;quickSort
8300;68890000;4204;104143;108347;95735;0.000648;quickSort
8400;70560000;4304;105743;110047;97135;0.000621;quickSort
8500;72250000;4404;107343;111747;98535;0.000593;quickSort
8600;73960000;4504;108943;113447;99935;0.000690;quickSort
8700;75690000;4604;110543;115147;101335;0.000700;quickSort
8800;77440000;4704;112143;116847;102735;0.000638;quickSort
8900;79210000;4804;113743;118547;104135;0.000729;quickSort
9000;81000000;4904;115343;120247;105535;0.000696;quickSort
9100;82810000;5004;116943;121947;106935;0.000696;quickSort
9200;84640000;5104;118543;123647;108335;0.000661;quickSort
9300;86490000;5204;120143;125347;109735;0.000766;quickSort
9400;88360000;5304;121743;127047;111135;0.000881;quickSort
9500;90250000;5404;123343;128747;112535;0.001124;quickSort
9600;92160000;5504;124943;130447;113935;0.001178;quickSort
9700;94090000;5604;126543;132147;115335;0.000830;quickSort
9800;96040000;5704;128143;133847;116735;0.001006;quickSort
9900;98010000;5804;129743;135547;118135;0.001486;quickSort
10000;100000000;5904;131343;137247;119535;0.000862;quickSort
10100;102010000;6004;132943;138947;120935;0.000938;quickSort
10200;104040000;6104;134543;140647;122335;0.000977;quickSort
10300;106090000;6204;136143;142347;123735;0.000951;quickSort
10400;108160000;6304;137743;144047;125135;0.000864;quickSort
10500;110250000;6404;139343;145747;126535;0.000824;quickSort
10600;112360000;6504;140943;147447;127935;0.000909;quickSort
10700;114490000;6604;142543;149147;129335;0.000917;quickSort
10800;116640000;6704;144143;150847;130735;0.000829;quickSort
10900;118810000;6804;145743;152547;132135;0.000896;quickSort
11000;121000000;6904;147343;154247;133535;0.001011;quickSort
11100;123210000;7004;148943;155947;134935;0.001396;quickSort
11200;125440000;7104;150543;157647;136335;0.000839;quickSort
11300;127690000;7204;152143;159347;137735;0.001298;quickSort
11400;129960000;7304;153743;161047;139135;0.000979;quickSort
11500;132250000;7404;155343;162747;140535;0.000937;quickSort
11600;134560000;7504;156943;164447;141935;0.000901;quickSort
11700;136890000;7604;158543;166147;143335;0.001085;quickSort
11800;139240000;7704;160143;167847;144735;0.001065;quickSort
11900;141610000;7804;161743;169547;146135;0.000912;quickSort
12000;144000000;7904;163343;171247;147535;0.001079;quickSort
12100;146410000;8004;164943;172947;148935;0.001078;quickSort
12200;148840000;8104;166543;174647;150335;0.001133;quickSort
12300;151290000;8191;168104;176295;151722;0.001039;quickSort
12400;153760000;8191;169404;177595;153022;0.000972;quickSort
12500;156250000;8191;170704;178895;154322;0.000979;quickSort
12600;158760000;8191;172004;180195;155622;0.001973;quickSort
12700;161290000;8191;173304;181495;156922;0.001402;quickSort
