Кол-во элементов;Кол-во перестановок;Кол-во итераций;Время на сортировку;Тип сортировки
0;0;0;0.000027;selectionSort
100;99;5049;0.000053;selectionSort
200;199;20099;0.000182;selectionSort
300;299;45149;0.000468;selectionSort
400;399;80199;0.000701;selectionSort
500;499;125249;0.001112;selectionSort
600;599;180299;0.001521;selectionSort
700;699;245349;0.002390;selectionSort
800;799;320399;0.003089;selectionSort
900;899;405449;0.003572;selectionSort
1000;999;500499;0.004188;selectionSort
1100;1099;605549;0.005226;selectionSort
1200;1199;720599;0.006162;selectionSort
1300;1299;845649;0.007197;selectionSort
1400;1399;980699;0.008089;selectionSort
1500;1499;1125749;0.009625;selectionSort
1600;1599;1280799;0.010821;selectionSort
1700;1699;1445849;0.012135;selectionSort
1800;1799;1620899;0.014446;selectionSort
1900;1899;1805949;0.015867;selectionSort
2000;1999;2000999;0.017296;selectionSort
2100;2099;2206049;0.019956;selectionSort
2200;2199;2421099;0.020143;selectionSort
2300;2299;2646149;0.022993;selectionSort
2400;2399;2881199;0.025192;selectionSort
2500;2499;3126249;0.026948;selectionSort
2600;2599;3381299;0.037352;selectionSort
2700;2699;3646349;0.037885;selectionSort
2800;2799;3921399;0.037313;selectionSort
2900;2899;4206449;0.044586;selectionSort
3000;2999;4501499;0.042375;selectionSort
3100;3099;4806549;0.043084;selectionSort
3200;3199;5121599;0.048626;selectionSort
3300;3299;5446649;0.050950;selectionSort
3400;3399;5781699;0.051287;selectionSort
3500;3499;6126749;0.060802;selectionSort
3600;3599;6481799;0.058153;selectionSort
3700;3699;6846849;0.097058;selectionSort
3800;3799;7221899;0.091576;selectionSort
3900;3899;7606949;0.082160;selectionSort
4000;3999;8001999;0.098829;selectionSort
4100;4099;8407049;0.091936;selectionSort
4200;4199;8822099;0.086232;selectionSort
4300;4299;9247149;0.085593;selectionSort
4400;4399;9682199;0.096857;selectionSort
4500;4499;10127249;0.086462;selectionSort
4600;4599;10582299;0.088391;selectionSort
4700;4699;11047349;0.093853;selectionSort
4800;4799;11522399;0.127037;selectionSort
4900;4899;12007449;0.151903;selectionSort
5000;4999;12502499;0.124413;selectionSort
5100;5099;13007549;0.172940;selectionSort
5200;5199;13522599;0.132082;selectionSort
5300;5299;14047649;0.141127;selectionSort
5400;5399;14582699;0.175547;selectionSort
5500;5499;15127749;0.180099;selectionSort
5600;5599;15682799;0.160115;selectionSort
5700;5699;16247849;0.173283;selectionSort
5800;5799;16822899;0.171011;selectionSort
5900;5899;17407949;0.178515;selectionSort
6000;5999;18002999;0.178070;selectionSort
6100;6099;18608049;0.158587;selectionSort
6200;6199;19223099;0.172801;selectionSort
6300;6299;19848149;0.199199;selectionSort
6400;6399;20483199;0.176406;selectionSort
6500;6499;21128249;0.184601;selectionSort
6600;6599;21783299;0.188283;selectionSort
6700;6699;22448349;0.195720;selectionSort
6800;6799;23123399;0.228416;selectionSort
6900;6899;23808449;0.224989;selectionSort
7000;6999;24503499;0.225588;selectionSort
7100;7099;25208549;0.231902;selectionSort
7200;7199;25923599;0.225723;selectionSort
7300;7299;26648649;0.248156;selectionSort
7400;7399;27383699;0.258661;selectionSort
7500;7499;28128749;0.245996;selectionSort
7600;7599;28883799;0.248040;selectionSort
7700;7699;29648849;0.263884;selectionSort
7800;7799;30423899;0.270667;selectionSort
7900;7899;31208949;0.289104;selectionSort
8000;7999;32003999;0.298820;selectionSort
8100;8099;32809049;0.281197;selectionSort
8200;8199;33624099;0.299225;selectionSort
8300;8299;34449149;0.309773;selectionSort
8400;8399;35284199;0.318668;selectionSort
8500;8499;36129249;0.323691;selectionSort
8600;8599;36984299;0.325431;selectionSort
8700;8699;37849349;0.355172;selectionSort
8800;8799;38724399;0.341542;selectionSort
8900;8899;39609449;0.363772;selectionSort
9000;8999;40504499;0.356306;selectionSort
9100;9099;41409549;0.395703;selectionSort
9200;9199;42324599;0.400886;selectionSort
9300;9299;43249649;0.396707;selectionSort
9400;9399;44184699;0.423315;selectionSort
9500;9499;45129749;0.400450;selectionSort
9600;9599;46084799;0.405623;selectionSort
9700;9699;47049849;0.425874;selectionSort
9800;9799;48024899;0.431807;selectionSort
9900;9899;49009949;0.424195;selectionSort
10000;9999;50004999;0.451976;selectionSort
10100;10099;51010049;0.452761;selectionSort
10200;10199;52025099;0.477144;selectionSort
10300;10299;53050149;0.484076;selectionSort
10400;10399;54085199;0.489155;selectionSort
10500;10499;55130249;0.481521;selectionSort
10600;10599;56185299;0.505806;selectionSort
10700;10699;57250349;0.512568;selectionSort
10800;10799;58325399;0.529205;selectionSort
10900;10899;59410449;0.517002;selectionSort
11000;10999;60505499;0.541204;selectionSort
11100;11099;61610549;0.595063;selectionSort
11200;11199;62725599;0.549295;selectionSort
11300;11299;63850649;0.555231;selectionSort
11400;11399;64985699;0.669957;selectionSort
11500;11499;66130749;0.866213;selectionSort
11600;11599;67285799;0.828545;selectionSort
11700;11699;68450849;0.898176;selectionSort
11800;11799;69625899;0.773366;selectionSort
11900;11899;70810949;0.830575;selectionSort
12000;11999;72005999;0.816055;selectionSort
12100;12099;73211049;0.915838;selectionSort
12200;12199;74426099;0.849948;selectionSort
12300;12299;75651149;0.872714;selectionSort
12400;12399;76886199;0.945205;selectionSort
12500;12499;78131249;0.762796;selectionSort
12600;12599;79386299;0.732183;selectionSort
12700;12699;80651349;0.936288;selectionSort
12800;12799;81926399;0.922850;selectionSort
12900;12899;83211449;0.759660;selectionSort
13000;12999;84506499;0.775555;selectionSort
13100;13099;85811549;0.986362;selectionSort
13200;13199;87126599;1.159380;selectionSort
13300;13299;88451649;0.930813;selectionSort
13400;13399;89786699;1.000412;selectionSort
13500;13499;91131749;1.010759;selectionSort
13600;13599;92486799;1.034967;selectionSort
13700;13699;93851849;1.073074;selectionSort
13800;13799;95226899;1.146590;selectionSort
13900;13899;96611949;1.148155;selectionSort
14000;13999;98006999;1.162129;selectionSort
14100;14099;99412049;1.294228;selectionSort
14200;14199;100827099;1.215043;selectionSort
14300;14299;102252149;1.064310;selectionSort
14400;14399;103687199;1.027523;selectionSort
14500;14499;105132249;1.035184;selectionSort
14600;14599;106587299;1.115621;selectionSort
14700;14699;108052349;1.135075;selectionSort
14800;14799;109527399;1.133903;selectionSort
14900;14899;111012449;1.128465;selectionSort
15000;14999;112507499;1.237855;selectionSort
15100;15099;114012549;1.177944;selectionSort
15200;15199;115527599;1.170331;selectionSort
15300;15299;117052649;1.194528;selectionSort
15400;15399;118587699;1.001208;selectionSort
15500;15499;120132749;0.991258;selectionSort
15600;15599;121687799;1.031210;selectionSort
15700;15699;123252849;1.047703;selectionSort
15800;15799;124827899;1.027527;selectionSort
15900;15899;126412949;1.039349;selectionSort
16000;15999;128007999;1.056619;selectionSort
16100;16099;129613049;1.068571;selectionSort
16200;16199;131228099;1.083174;selectionSort
16300;16299;132853149;1.087431;selectionSort
16400;16399;134488199;1.104169;selectionSort
16500;16499;136133249;1.125440;selectionSort
16600;16599;137788299;1.138457;selectionSort
16700;16699;139453349;1.155396;selectionSort
16800;16799;141128399;1.178497;selectionSort
16900;16899;142813449;1.176457;selectionSort
17000;16999;144508499;1.190126;selectionSort
17100;17099;146213549;1.209378;selectionSort
0;0;0;0.000003;selectionSort
1000;999;500499;0.004843;selectionSort
2000;1999;2000999;0.026488;selectionSort
3000;2999;4501499;0.046505;selectionSort
4000;3999;8001999;0.069302;selectionSort
5000;4999;12502499;0.104686;selectionSort
6000;5999;18002999;0.153651;selectionSort
7000;6999;24503499;0.212367;selectionSort
8000;7999;32003999;0.297144;selectionSort
9000;8999;40504499;0.338856;selectionSort
10000;9999;50004999;0.389143;selectionSort
11000;10999;60505499;0.508374;selectionSort
12000;11999;72005999;0.611478;selectionSort
13000;12999;84506499;0.745028;selectionSort
14000;13999;98006999;1.079020;selectionSort
15000;14999;112507499;0.794532;selectionSort
16000;15999;128007999;0.602556;selectionSort
17000;16999;144508499;0.577857;selectionSort
18000;17999;162008999;0.670330;selectionSort
19000;18999;180509499;0.790708;selectionSort
20000;19999;200009999;0.880013;selectionSort
21000;20999;220510499;1.079644;selectionSort
22000;21999;242010999;1.262790;selectionSort
23000;22999;264511499;1.287460;selectionSort
24000;23999;288011999;1.237954;selectionSort
25000;24999;312512499;1.385632;selectionSort
26000;25999;338012999;1.475905;selectionSort
27000;26999;364513499;1.478055;selectionSort
28000;27999;392013999;1.602615;selectionSort
29000;28999;420514499;1.711023;selectionSort
30000;29999;450014999;1.825147;selectionSort
31000;30999;480515499;1.897884;selectionSort
32000;31999;512015999;2.011642;selectionSort
33000;32999;544516499;2.127855;selectionSort
34000;33999;578016999;2.275029;selectionSort
35000;34999;612517499;2.419870;selectionSort
36000;35999;648017999;2.549507;selectionSort
37000;36999;684518499;2.760904;selectionSort
38000;37999;722018999;2.932711;selectionSort
39000;38999;760519499;3.014972;selectionSort
40000;39999;800019999;3.085605;selectionSort
41000;40999;840520499;3.255729;selectionSort
42000;41999;882020999;3.371379;selectionSort
43000;42999;924521499;3.533846;selectionSort
44000;43999;968021999;3.705513;selectionSort
45000;44999;1012522499;3.861886;selectionSort
46000;45999;1058022999;4.029038;selectionSort
47000;46999;1104523499;4.210824;selectionSort
48000;47999;1152023999;4.391464;selectionSort
49000;48999;1200524499;4.618757;selectionSort
50000;49999;1250024999;4.775165;selectionSort
51000;50999;1300525499;4.980363;selectionSort
52000;51999;1352025999;5.143129;selectionSort
53000;52999;1404526499;5.353013;selectionSort
54000;53999;1458026999;5.557094;selectionSort
55000;54999;1512527499;5.756437;selectionSort
56000;55999;1568027999;5.968247;selectionSort
57000;56999;1624528499;6.197307;selectionSort
58000;57999;1682028999;6.395182;selectionSort
59000;58999;1740529499;6.651356;selectionSort
60000;59999;1800029999;6.841551;selectionSort
61000;60999;1860530499;7.112459;selectionSort
62000;61999;1922030999;7.329279;selectionSort
63000;62999;1984531499;7.600347;selectionSort
64000;63999;2048031999;7.820555;selectionSort
65000;64999;2112532499;8.090213;selectionSort
66000;65999;2178032999;8.332382;selectionSort
67000;66999;2244533499;8.605622;selectionSort
68000;67999;2312033999;8.836676;selectionSort
69000;68999;2380534499;9.108946;selectionSort
70000;69999;2450034999;9.401226;selectionSort
71000;70999;2520535499;9.643635;selectionSort
72000;71999;2592035999;9.928098;selectionSort
73000;72999;2664536499;10.176097;selectionSort
74000;73999;2738036999;10.491036;selectionSort
75000;74999;2812537499;11.073451;selectionSort
76000;75999;2888037999;11.598980;selectionSort
77000;76999;2964538499;11.397645;selectionSort
78000;77999;3042038999;11.733318;selectionSort
79000;78999;3120539499;11.684513;selectionSort
80000;79999;3200039999;11.955519;selectionSort
81000;80999;3280540499;12.274579;selectionSort
82000;81999;3362040999;12.555347;selectionSort
83000;82999;3444541499;12.886359;selectionSort
84000;83999;3528041999;13.200604;selectionSort
85000;84999;3612542499;13.513234;selectionSort
86000;85999;3698042999;13.821736;selectionSort
87000;86999;3784543499;14.136703;selectionSort
88000;87999;3872043999;14.463409;selectionSort
89000;88999;3960544499;14.786023;selectionSort
90000;89999;4050044999;15.137690;selectionSort
91000;90999;4140545499;15.469899;selectionSort
92000;91999;4232045999;15.811260;selectionSort
93000;92999;29579203;16.157576;selectionSort
94000;93999;123079703;16.495585;selectionSort
95000;94999;217580203;16.868494;selectionSort
