Кол-во элементов;Кол-во перестановок;Кол-во итераций;Время на сортировку;Тип сортировки
0;0;1;0.000002;shakerSort
100;0;100;0.000003;shakerSort
200;0;200;0.000003;shakerSort
300;0;300;0.000005;shakerSort
400;0;400;0.000006;shakerSort
500;0;500;0.000006;shakerSort
600;0;600;0.000007;shakerSort
700;0;700;0.000058;shakerSort
800;0;800;0.000009;shakerSort
900;0;900;0.000009;shakerSort
1000;0;1000;0.000011;shakerSort
1100;0;1100;0.000012;shakerSort
1200;0;1200;0.000012;shakerSort
1300;0;1300;0.000012;shakerSort
1400;0;1400;0.000014;shakerSort
1500;0;1500;0.000015;shakerSort
1600;0;1600;0.000015;shakerSort
1700;0;1700;0.000016;shakerSort
1800;0;1800;0.000017;shakerSort
1900;0;1900;0.000017;shakerSort
2000;0;2000;0.000019;shakerSort
2100;0;2100;0.000022;shakerSort
2200;0;2200;0.000021;shakerSort
2300;0;2300;0.000021;shakerSort
2400;0;2400;0.000021;shakerSort
2500;0;2500;0.000022;shakerSort
2600;0;2600;0.000023;shakerSort
2700;0;2700;0.000024;shakerSort
2800;0;2800;0.000025;shakerSort
2900;0;2900;0.000026;shakerSort
3000;0;3000;0.000027;shakerSort
3100;0;3100;0.000029;shakerSort
3200;0;3200;0.000028;shakerSort
3300;0;3300;0.000030;shakerSort
3400;0;3400;0.000030;shakerSort
3500;0;3500;0.000032;shakerSort
3600;0;3600;0.000032;shakerSort
3700;0;3700;0.000032;shakerSort
3800;0;3800;0.000033;shakerSort
3900;0;3900;0.000034;shakerSort
4000;0;4000;0.000072;shakerSort
4100;0;4100;0.000036;shakerSort
4200;0;4200;0.000039;shakerSort
4300;0;4300;0.000038;shakerSort
4400;0;4400;0.000038;shakerSort
4500;0;4500;0.000039;shakerSort
4600;0;4600;0.000040;shakerSort
4700;0;4700;0.000041;shakerSort
4800;0;4800;0.000042;shakerSort
4900;0;4900;0.000090;shakerSort
5000;0;5000;0.000044;shakerSort
5100;0;5100;0.000044;shakerSort
5200;0;5200;0.000045;shakerSort
5300;0;5300;0.000047;shakerSort
5400;0;5400;0.000049;shakerSort
5500;0;5500;0.000048;shakerSort
5600;0;5600;0.000048;shakerSort
5700;0;5700;0.000049;shakerSort
5800;0;5800;0.000051;shakerSort
5900;0;5900;0.000051;shakerSort
6000;0;6000;0.000058;shakerSort
6100;0;6100;0.000053;shakerSort
6200;0;6200;0.000053;shakerSort
6300;0;6300;0.000054;shakerSort
6400;0;6400;0.000055;shakerSort
6500;0;6500;0.000056;shakerSort
6600;0;6600;0.000057;shakerSort
6700;0;6700;0.000058;shakerSort
6800;0;6800;0.000059;shakerSort
6900;0;6900;0.000059;shakerSort
7000;0;7000;0.000065;shakerSort
7100;0;7100;0.000064;shakerSort
7200;0;7200;0.000062;shakerSort
7300;0;7300;0.000064;shakerSort
7400;0;7400;0.000063;shakerSort
8100;0;8100;0.000069;shakerSort
8200;0;8200;0.000071;shakerSort
8300;0;8300;0.000071;shakerSort
8400;0;8400;0.000073;shakerSort
8500;0;8500;0.000076;shakerSort
8600;0;8600;0.000075;shakerSort
8700;0;8700;0.000306;shakerSort
8800;0;8800;0.000075;shakerSort
8900;0;8900;0.000075;shakerSort
9000;0;9000;0.000077;shakerSort
9100;0;9100;0.000078;shakerSort
9200;0;9200;0.000077;shakerSort
9300;0;9300;0.000079;shakerSort
9400;0;9400;0.000101;shakerSort
9500;0;9500;0.000087;shakerSort
9600;0;9600;0.000080;shakerSort
9700;0;9700;0.000082;shakerSort
9800;0;9800;0.000083;shakerSort
9900;0;9900;0.000083;shakerSort
10000;0;10000;0.000085;shakerSort
10100;0;10100;0.000086;shakerSort
10200;0;10200;0.000091;shakerSort
10300;0;10300;0.000087;shakerSort
10400;0;10400;0.000463;shakerSort
10500;0;10500;0.000146;shakerSort
10600;0;10600;0.000089;shakerSort
10700;0;10700;0.000090;shakerSort
10800;0;10800;0.000092;shakerSort
10900;0;10900;0.000092;shakerSort
11000;0;11000;0.000101;shakerSort
11100;0;11100;0.000578;shakerSort
11200;0;11200;0.000124;shakerSort
11300;0;11300;0.000096;shakerSort
11400;0;11400;0.000096;shakerSort
11500;0;11500;0.000098;shakerSort
11600;0;11600;0.000098;shakerSort
11700;0;11700;0.000105;shakerSort
11800;0;11800;0.000103;shakerSort
11900;0;11900;0.000101;shakerSort
12000;0;12000;0.000377;shakerSort
12100;0;12100;0.000102;shakerSort
12200;0;12200;0.000123;shakerSort
12300;0;12300;0.000232;shakerSort
12400;0;12400;0.000110;shakerSort
12500;0;12500;0.000177;shakerSort
12600;0;12600;0.000107;shakerSort
12700;0;12700;0.000107;shakerSort
