Кол-во элементов;Кол-во перестановок;Кол-во итераций;Время на сортировку;Тип сортировки
0;0;0;0.000002;shellSort
100;0;509;0.000006;shellSort
200;0;1210;0.000012;shellSort
300;0;2112;0.000020;shellSort
400;0;2811;0.000026;shellSort
500;0;3514;0.000033;shellSort
600;0;4813;0.000136;shellSort
700;0;5615;0.000066;shellSort
800;0;6412;0.000057;shellSort
900;0;7213;0.000064;shellSort
1000;0;8015;0.000070;shellSort
1100;0;9914;0.000086;shellSort
1200;0;10814;0.000096;shellSort
1300;0;11714;0.000104;shellSort
1400;0;12616;0.000108;shellSort
1500;0;13517;0.000115;shellSort
1600;0;14413;0.000126;shellSort
1700;0;15315;0.000139;shellSort
1800;0;16214;0.000140;shellSort
1900;0;17117;0.000146;shellSort
2000;0;18016;0.000204;shellSort
2100;0;21015;0.000183;shellSort
2200;0;22015;0.000186;shellSort
2300;0;23018;0.000199;shellSort
2400;0;24015;0.000206;shellSort
2500;0;25016;0.000214;shellSort
2600;0;26015;0.000325;shellSort
2700;0;27016;0.000226;shellSort
2800;0;28017;0.000238;shellSort
2900;0;29017;0.000248;shellSort
3000;0;30018;0.000264;shellSort
3100;0;31016;0.000270;shellSort
3200;0;32014;0.000284;shellSort
3300;0;33017;0.000279;shellSort
3400;0;34016;0.000384;shellSort
3500;0;35018;0.000327;shellSort
3600;0;36015;0.000333;shellSort
3700;0;37018;0.000358;shellSort
3800;0;38018;0.000521;shellSort
3900;0;39019;0.000341;shellSort
4000;0;40017;0.000431;shellSort
4100;0;45114;0.000500;shellSort
4200;0;46216;0.000389;shellSort
4300;0;47317;0.000400;shellSort
4400;0;48416;0.000735;shellSort
4500;0;49517;0.000672;shellSort
4600;0;50619;0.000429;shellSort
4700;0;51718;0.000434;shellSort
4800;0;52816;0.000450;shellSort
4900;0;53917;0.000458;shellSort
5000;0;55017;0.000621;shellSort
5100;0;56120;0.000478;shellSort
5200;0;57216;0.000492;shellSort
5300;0;58318;0.000492;shellSort
5400;0;59417;0.000501;shellSort
5500;0;60520;0.000515;shellSort
5600;0;61618;0.000542;shellSort
5700;0;62717;0.000586;shellSort
5800;0;63818;0.000597;shellSort
5900;0;64918;0.000552;shellSort
6000;0;66019;0.000558;shellSort
6100;0;67120;0.000570;shellSort
6200;0;68217;0.000583;shellSort
6300;0;69318;0.000592;shellSort
6400;0;70415;0.000597;shellSort
6500;0;71518;0.000947;shellSort
6600;0;72618;0.000843;shellSort
6700;0;73718;0.000626;shellSort
6800;0;74817;0.000643;shellSort
6900;0;75920;0.000652;shellSort
7000;0;77019;0.000674;shellSort
7100;0;78121;0.000670;shellSort
7200;0;79216;0.000678;shellSort
8000;0;88018;0.000746;shellSort
8100;0;89120;0.000778;shellSort
8200;0;98415;0.000910;shellSort
8300;0;99618;0.000877;shellSort
8400;0;100817;0.001056;shellSort
8500;0;102018;0.000914;shellSort
8600;0;103218;0.000875;shellSort
8700;0;104421;0.000916;shellSort
8800;0;105617;0.000929;shellSort
8900;0;106818;0.001179;shellSort
9000;0;108018;0.000943;shellSort
9100;0;109219;0.001020;shellSort
9200;0;110420;0.001037;shellSort
9300;0;111618;0.000961;shellSort
9400;0;112819;0.000964;shellSort
9500;0;114019;0.000962;shellSort
9600;0;115217;0.002717;shellSort
9700;0;116420;0.001507;shellSort
9800;0;117618;0.001120;shellSort
9900;0;118820;0.001360;shellSort
10000;0;120018;0.005373;shellSort
10100;0;121221;0.001072;shellSort
10200;0;122421;0.001332;shellSort
10300;0;123619;0.001161;shellSort
10400;0;124817;0.001090;shellSort
10500;0;126017;0.001188;shellSort
10600;0;127219;0.001137;shellSort
10700;0;128420;0.001981;shellSort
10800;0;129618;0.001076;shellSort
10900;0;130819;0.001233;shellSort
11000;0;132021;0.001187;shellSort
11100;0;133221;0.001148;shellSort
11200;0;134419;0.001513;shellSort
11300;0;135618;0.001275;shellSort
11400;0;136818;0.001259;shellSort
11500;0;138021;0.001751;shellSort
11600;0;139219;0.001243;shellSort
11700;0;140421;0.001495;shellSort
11800;0;141619;0.001246;shellSort
11900;0;142822;0.001392;shellSort
12000;0;144020;0.001246;shellSort
12100;0;145220;0.001315;shellSort
12200;0;146421;0.001295;shellSort
12300;0;147617;0.001260;shellSort
12400;0;148818;0.001276;shellSort
12500;0;150019;0.001277;shellSort
12600;0;151219;0.001308;shellSort
12700;0;152420;0.001294;shellSort
18700;0;243119;0.002141;shellSort
18800;0;244420;0.002030;shellSort
18900;0;245721;0.002161;shellSort
19000;0;247020;0.002137;shellSort
19100;0;248321;0.002110;shellSort
19200;0;249618;0.002217;shellSort
19300;0;250921;0.002139;shellSort
19400;0;252221;0.002338;shellSort
19500;0;253520;0.002412;shellSort
19600;0;254819;0.002171;shellSort
19700;0;256122;0.002744;shellSort
19800;0;257421;0.002432;shellSort
19900;0;258723;0.002374;shellSort
20000;0;260019;0.002294;shellSort
20100;0;261320;0.002867;shellSort
20200;0;262622;0.003561;shellSort
20300;0;263922;0.002254;shellSort
20400;0;265222;0.002399;shellSort
20500;0;266518;0.002812;shellSort
20600;0;267820;0.002749;shellSort
20700;0;269121;0.002449;shellSort
20800;0;270418;0.006963;shellSort
20900;0;271720;0.002305;shellSort
21000;0;273018;0.004514;shellSort
21100;0;274321;0.002743;shellSort
21200;0;275620;0.003253;shellSort
21300;0;276921;0.002694;shellSort
21400;0;278221;0.002470;shellSort
21500;0;279524;0.002378;shellSort
21600;0;280819;0.002778;shellSort
21700;0;282120;0.002511;shellSort
21800;0;283420;0.002488;shellSort
21900;0;284721;0.002438;shellSort
22000;0;286022;0.003303;shellSort
22100;0;287321;0.002477;shellSort
